"Type","O_name","N_name","F"
"KEYWORD","173 Box8 Indian Ads.json 1110","""Box"", Indian Ads",""
"KEYWORD","174 Zomato Indian Ads.json 1110","""Zomato"", Indian Ads",""
"KEYWORD","175 GrubHub Indian Ads.json 1110","""GrubSub"", Indian Ads",""
"KEYWORD","176 Dunzo Indian Ads.json 1110","""Dunzo"", Indian Ads",""
"KEYWORD","177 Indian Food Delivery Apps Ads.json 1110","",""
"","Keyword Count: 13","",""
"","","",""
"SUBHEAD","Food Companies","",""
"","","",""
"KEYWORD","178 Sunfeast Indian Ads.json 1110","""Sunfeast"", Indian Ads",""
"KEYWORD","179 Hatsun Argo Indian Ads.json 1110","""Hatsun Argo"", Indian Ads",""
"KEYWORD","180 Parle Argo Indian Ads.json 1110","""Parle Argo"", Indian Ads",""
"KEYWORD","181 Patanjali Indian Ads.json 1110","""Patanjali"", Indian Ads",""
"KEYWORD","182 Britannia Indian Ads.json 1110","""Britannia"", Indian Ads",""
"KEYWORD","183 Nestle Indian Ads.json 1110","""Nestle"", Indian Ads",""
"KEYWORD","184 McCain Indian Ads.json 1110","""McCain"", Indian Ads",""
"KEYWORD","185 Godrej Bevrages and Foods Limited Indian Ads.json 1110","""Godrej Bevrages and Foods Limited"", Indian Ads",""
"KEYWORD","186 Hindustan Unilever Indian Ads.json 1110","""Hindustan Unilever"", Indian Ads",""
"KEYWORD","187 Pepsico India Indian Ads.json 1110","""Pepsico India"", Indian Ads",""
"KEYWORD","188 KRBL Limited Indian Ads.json 1110","""KRBL Limited"", Indian Ads",""
"KEYWORD","189 Amul Indian Ads.json 1110","""Amul"", Indian Ads",""
"KEYWORD","190 Cadbury Indian Ads.json 1110","""Cadbury"", Indian Ads",""
"KEYWORD","191 Indian Food Companies Ads.json 1110","",""
"KEYWORD","192 MTR Foods Indian Ads.json 1110","""MTR Foods"", Indian Ads",""
"KEYWORD","193 Kissan Indian Ads.json 1110","""Kissan"", Indian Ads",""
"KEYWORD","194 Heritage Foods Limited Indian Ads.json 1110","""Heritage Foods Limited"", Indian Ads",""
"KEYWORD","195 Kwality Dairy India Limited Indian Ads.json 1110","""Kwality Dairy India Limited"", Indian Ads",""
"","","",""
"","","",""
"SUBHEAD","Ice Cream","",""
"","","",""
"KEYWORD","196 Amul Ice Cream Indian Ads.json 1110","""Amul"" ice-cream, Indian Ads",""
"KEYWORD","197 Cream and Fudge Indian Ads.json 1110","""Cream And Fudge"", Indian Ads",""
"KEYWORD","198 Vadilal Indian Ads.json 1110","""Vadilal"", Indian Ads",""
"KEYWORD","199 Natural Ice Cream Indian Ads.json 1110","""Naturals"" ice-cream, Indian Ads",""
"KEYWORD","200 Cream Stone Indian Ads.json 1110","""Cream Stone"", Indian Ads",""
"KEYWORD","201 Cream Bell Indian Ads.json 1110","""Cream Bell"", Indian Ads",""
"KEYWORD","202 Mother Dairy Indian Ads.json 1110","""Mother Diary"", Indian Ads",""
"KEYWORD","203 Havmor Indian Ads.json 1110","""Havmor"" ice-cream, Indian Ads",""
"KEYWORD","204 Kwality Wall's Indian Ads.json 1110","""Kwality Wall's"", Indian Ads",""
"","205 Indian Ice Cream Ads.json 1110","",""
"","Keyword Count: 10","",""
"","","",""
"SUBHEAD","Restaurants","",""
"","","",""
"KEYWORD","206 Smokin' Joes Pizzeria Indian Ads.json 1110","""Smokin' Joes Pizzeria"", Indian Ads",""
"KEYWORD","207 Parsa's- Food For all Indian Ads.json 1110","""Parsa's-Food For all"", Indian Ads",""
